system.diskio.iostat.await,system.diskio.iostat.queue.avg_size,system.diskio.iostat.read.per_sec.bytes,system.diskio.iostat.write.per_sec.bytes,scenario,type,timestamp,anomaly
5.191,0.008,0.0,11203,0,0,2018-01-01 01:31:00,0
8.352,0.013,0.0,58508,0,0,2018-01-01 01:32:00,0
9.037,0.016,0.0,102454,0,0,2018-01-01 01:33:00,0
5.152,0.011,0.0,13911,0,0,2018-01-01 01:34:00,0
8.327,0.014,0.0,42663,0,0,2018-01-01 01:35:00,0
10.125,0.022,1677.0,79960,0,0,2018-01-01 01:36:00,0
7.556,0.015,0.0,59162,0,0,2018-01-01 01:37:00,0
3.83,0.006,0.0,10474,0,0,2018-01-01 01:38:00,0
9.425,0.023,68.426,63014,0,0,2018-01-01 01:39:00,0
8.04,0.013,0.0,108090,0,0,2018-01-01 01:40:00,0
23.103,0.041,0.0,11266,0,0,2018-01-01 01:41:00,0
5.737,0.01,0.0,58794,0,0,2018-01-01 01:42:00,0
28.481,0.052,0.0,107864,0,0,2018-01-01 01:43:00,0
5.949,0.012,0.0,62081,0,0,2018-01-01 01:44:00,0
6.355,0.015,684.635,15846,0,0,2018-01-01 01:45:00,0
32.0,0.05,0.0,58577,0,0,2018-01-01 01:46:00,0
10.275,0.018,0.0,105308,0,0,2018-01-01 01:47:00,0
3.44,0.006,0.0,10975,0,0,2018-01-01 01:48:00,0
7.342,0.018,0.0,62135,0,0,2018-01-01 01:49:00,0
35.171,0.065,0.0,65744,0,0,2018-01-01 01:50:00,0
11.439,0.02,0.0,35969,0,0,2018-01-01 01:51:00,0
6.126,0.011,0.0,49415,0,0,2018-01-01 01:52:00,0
20.8,0.03,1677.0,55808,0,0,2018-01-01 01:53:00,0
7.597,0.018,0.0,87186,0,0,2018-01-01 01:54:00,0
7.742,0.012,0.0,58205,0,0,2018-01-01 01:55:00,0
10.941,0.018,0.0,10569,0,0,2018-01-01 01:56:00,0
9.496,0.02,0.0,108712,0,0,2018-01-01 01:57:00,0
14.857,0.024,1275.0,36033,0,0,2018-01-01 01:58:00,0
8.354,0.021,1144.0,40158,0,0,2018-01-01 01:59:00,0
8.595,0.017,0.0,62626,0,0,2018-01-01 02:00:00,0
14.319,0.033,481.074,108993,0,0,2018-01-01 02:01:00,0
11.467,0.017,0.0,59540,0,0,2018-01-01 02:02:00,0
3.625,0.006,0.0,10390,0,0,2018-01-01 02:03:00,0
7.692,0.018,0.0,59567,0,0,2018-01-01 02:04:00,0
7.679,0.014,0.0,74768,0,0,2018-01-01 02:05:00,0
5.645,0.01,412.228,25831,0,0,2018-01-01 02:06:00,0
45.176,0.077,0.0,58223,0,0,2018-01-01 02:07:00,0
6.667,0.012,1406.0,51436,0,0,2018-01-01 02:08:00,0
111.278,0.269,0.0,87359,0,0,2018-01-01 02:09:00,0
6.437,0.009,1007.0,10275,0,0,2018-01-01 02:10:00,0
17.404,0.033,0.0,61711,0,0,2018-01-01 02:11:00,0
32.441,0.074,0.0,85161,0,0,2018-01-01 02:12:00,0
15.686,0.027,0.0,59118,0,0,2018-01-01 02:13:00,0
13.438,0.034,0.0,65652,0,0,2018-01-01 02:14:00,0
9.171,0.019,0.0,84383,0,0,2018-01-01 02:15:00,0
8.492,0.019,1476.0,38707,0,0,2018-01-01 02:16:00,0
7.636,0.014,0.0,59148,0,0,2018-01-01 02:17:00,0
14.81,0.021,0.0,57610,0,0,2018-01-01 02:18:00,0
